Christ for Life Manchester, Christ Evangelical Ministries Building,, 1294 – 1296 Ashton Old Road, , Manchester, Lancashire, M11 1JG, 53.4726189, -2.1624418 
Oasis of Life Southampton, Freemantle Community Centre, Randolph Street, Southampton, Southampton, Hampshire, SO15 3HE, 50.91787, -1.4301376 
Good Tidings Assembly Glasgow, Suit 110: Jury’s Inn Glasgow, 80 Jamaica Street, , Glasgow, Lanarkshire, G1 4QG, 55.8572181, -4.2577517 
Harvest Chapel Plaistow, One Love Centre,, 1 Bishops Avenue, Off Plashet Road., Plaistow, London, London, E13 0RB, 51.5368544, 0.0271979 
Restoration House Woolwich, Charlton Assembly Rooms, The Village, , Charlton, London, SE7 8UD, 51.4817947, 0.0374149 
Calvary Parish Aylesbury, BERRYFIELDS CHURCH OF ENGLAND PRIMARY SCHOOL, ) PARADISE ORCHARD,, BERRYFIELDS, Aylesbury, Buckinghamshire, HP18 0WS, 51.8265005, -0.8229047 
The Royal Assembly Sheffield, Brushes Community Centre, West Quadrant (Firth Park), , Sheffield, South Yorkshire, S5 6QE, 53.4177042, -1.4499672 
The Builders’s House Stockwell, 18 Union Road, Clapham, , Clapham, London, SW4 6JT, 51.469483, -0.128701 
Alive Chapel Wigan, 87/89 Mesnes Stree, Wigan, Wigan,, Wigan, Lancashire, WN1 1QJ, 53.5504492, -2.6326959 
House of Joy for all Nations Harrow, Station House, 11/13 Masons Avenue, Wealdstone, Harrow, London, HA3 5AH, 51.5928638, -0.3342428 
Jesus Kingdom City Bath, Percy Community Centre (Annex), New King Street, , Bath, Somerset, BA1 2BN, 51.3827252, -2.3669291 
Royal Christian Centre Walsall, Blackenall Community Centre, Walsall, , , , WS3 1LW, 52.6135871, -1.9896039 
Victory @ Reading, Penta Hotel, Oxford Road, , Reading, West Berkshire, RG1 7RH, 51.45482, -0.978141 
Covenant Restoration Assembly Freedom House Coventry, Moat House Leisure & Neighbourhood Centre, Winston Avenue, Coventry, Coventry, West Midlands, CV2 1EA, 52.4353783, -1.4633615 
Kingdom Life Arena Reading, Youth & Community Centre, 252 Northumberland, , , , RG2 7QA, 51.4328526, -0.9627494 
Joy Assembly Sheffield, 42 Spitall Hill, , , Sheffield, South Yorkshire, S4 7LG, 53.3912438, -1.4583228 
Open Heavens Glasgow, 8 Fitzory Place, Glasgow, Anderston, Glasgow, Lanarkshire, G3 7HR, 55.8648777, -4.2776148 
The Chosen Generation Assembly Manchester, 98A Withington Road, Manchester, , Manchester, Lancashire, M16 8FA, 53.4530631, -2.2577025 
Victory House Isle of Sheppey, Thistle Hill Community Centre, 2, Laurel Road, Minster, , ME12 3FG, 51.4134456, 0.7980762 
Great Open Door Assembly Preston, Young People’s Service, Brook Street, , Preston, Lancashire, PR1 7NB, 53.7693353, -2.7123735 
Hope Centre Crewe, St. Peters Church, Earle Street, Crewe, Cheshire, , CW1 2AG, 53.0980666, -2.432277 
His Grace Parish Bermondsey, UNIT 6 CITY BUSINESS CENTRE, LOWER ROAD, ROTHERHITE, Bermondsey, London, SE16 2XB, 51.4986534, -0.0545612 
Joy Connections Hornchurch, Fairkytes Arts Centre, 53 Billet Road, , Hornchurch, Essex, RM11 1AX, 51.5652305, 0.2183166 
Bridgebuilder’s Christian Connections Rayleigh, Castle Hall Community Centre, Castle Road, Rayleigh, , , SS6 7QE, 51.5829327, 0.6064917 
Christ Chapel for all Nations, Woodman Community Centre,, Woodman Street, Royal Docks, London, London, E16 2NF, 51.5013922, 0.0670918 
 
Glory Assembly Barnet, Grasvenor Avenue, Infant School, Barnet, , Hertfordshire, EN5 2BY, 51.6413494, -0.1884916 
Kingdom Life Tabernacle York, Melbourne Centre, Escrick Street, Behind Fishergate School, Fishergate, York, YO10 4AW, 53.9521775, -1.0745188 
Everlasting Father’s Assembly Leeds, Land of Mercy, 15-17 Walter Street, , Leeds, Yorkshire, LS4 2BB, 53.8046163, -1.5785708 
Newness of Life Christian Centre Newcastle, Higherland Methodist Church, Higherland, Newcastle under Lyme, Staffordshire, , ST5 2TF, 53.0082228, -2.2318084 
Divine Covenant Centre Nottingham, Alpine Street, Basford, , Nottingham, Nottinghamshire, NG6 0HS, 52.9805588, -1.1809169 
Inspiration House Halow, Harlow Leisure zone, Harlow, , Harlow, Essex, CM20 3DT, 51.7679981, 0.098918 
Haven of Rest Preston, Units 15 / 17, Oakham Court Avehnam Lane, , Preston, Lancashire, PR1 3XP, 53.7573554, -2.6937423 
His Glory Arena Bromley, Bromley and Downham Youth Club, 41 Valeswood Road, Off Downham Way, Bromley, Greater London, BR1 4RD, 51.4214004, 0.0071115 
Love Assembly North Peckham, Lettsom T & RA Hall, 114, Vestry Road, London, London, SE5 8PQ, 51.470813, -0.0824555 
Shalom Centre Hornchurch, Hacton Hall, Haydock Close, Hornchurch, Essex, , RM12 6EA, 51.5513086, 0.2306936 
The Risen Christ Knebworth, Knebworth Village Hall, Park Lane, , Knebworth, Hertfordshire, SG3 6PD, 51.866698, -0.1894737 
Holy Ghost Zone Kingsthorpe, Function Room, The Frog and Fidler, Harbourough Road, Northampton, Northamptonshire, NN2 8DH, 52.2656962, -0.9001422 
Winners Way Gravesend, 149 Milton Road, Gravesend, Gravesend, Gravesend, Kent, DA12 2RG, 51.441617, 0.3719527 
Life Start Connections Gravesend, St Clements Close, , , Gravesend, Kent, DA11 7RU, 51.425645, 0.3532155 
Central London Fellowship Paddington, London Marriott Hotel Park Lane, 140 Park Lane, London, London, London, W1K 7AA, 51.5129629, -0.1577325 
House of Refuge North Edinburgh, 16 QUALITY STREET LANE., , Edinburgh, Edinburgh, Midlothian, EH4 5BU, 55.9648562, -3.2734851 
Agape Centre Havant, Leigh park community centre, Dunsbury way,, Havant Hampshire, Havant, Hampshire, PO9 5BG, 50.8676011, -0.9869377 
 
